,DOY,Hour,Incoming_PAR_Wm2,temperature,VPD,wind_speed,precipitation,time
0,122,17,82.66742647,19.15,1.255457138,0.85,5,122.7083333
1,122,18,45.19025,19.32,1.123663837,0.85,0,122.75
2,122,19,28.15894118,19.845,1.24647746,0.85,0,122.7916667
3,122,20,16.20000735,19.915,1.214683013,0.85,0,122.8333333
4,122,21,6.852891912,19.87,1.230669334,0.85,0,122.875
5,122,22,6.297308088,20.215,1.267341355,0.85,0,122.9166667
6,122,23,6.080786765,20.63,1.326555659,0.85,0,122.9583333
7,123,0,7.250672059,20.815,1.35610871,0.85,0,123
8,123,1,5.337402206,20.95,1.359140767,0.85,0,123.0416667
9,123,2,2.331952206,21.02,1.367095345,0.85,0,123.0833333
10,123,3,1.522829412,21.07,1.350426451,0.85,0,123.125
11,123,4,1.204669118,21.05,1.361275327,0.85,0,123.1666667
12,123,5,0.950332353,21.135,1.372599083,0.85,0,123.2083333
13,123,6,12.06743382,21.225,1.386540781,0.85,0,123.25
14,123,7,25.54217647,21.3,1.147089368,0.85,0,123.2916667
15,123,8,55.79931618,21.37,1.133127907,0.85,0,123.3333333
16,123,9,90.58154412,21.28,1.597978142,0.85,0,123.375
17,123,10,139.6777941,21.38,1.931868604,0.85,0,123.4166667
18,123,11,153.3838971,20.89,1.965451557,0.85,0,123.4583333
19,123,12,191.4705882,20.59,1.770141087,0.85,0,123.5
20,123,13,191.4705882,19.49,1.529558212,0.85,0,123.5416667
21,123,14,188.3911029,18.92,1.468498792,0.85,0,123.5833333
22,123,15,120.2435294,18.265,1.500720787,0.85,0,123.625
23,123,16,66.53602941,18.88,1.300399753,0.85,0,123.6666667
24,123,17,59.56330882,19.805,1.367258414,0.85,5,123.7083333
25,123,18,49.56535294,19.065,1.139708594,0.85,0,123.75
26,123,19,20.01984559,19.79,0.528144956,0.85,0,123.7916667
27,123,20,9.934132353,19.73,0.760318542,0.85,0,123.8333333
28,123,21,0.016275,19.83,1.081016904,0.85,0,123.875
29,123,22,0.016275,20.35,1.24791083,0.85,0,123.9166667
30,123,23,0.018030147,20.66,1.255731489,0.85,0,123.9583333
31,124,0,0.0244125,20.8,1.291221712,0.85,0,124
32,124,1,0.029358824,20.815,1.308849669,0.85,0,124.0416667
33,124,2,0.026805882,20.88,1.342981972,0.85,0,124.0833333
34,124,3,0.036060294,20.925,1.350846344,0.85,0,124.125
35,124,4,0.03255,20.995,1.358756008,0.85,0,124.1666667
36,124,5,0.061749265,21.08,1.393026398,0.85,0,124.2083333
37,124,6,12.12168382,21.12,1.417394733,0.85,0,124.25
38,124,7,29.94759559,21.125,1.315269801,0.85,0,124.2916667
39,124,8,53.74419853,21.2,1.283472825,0.85,0,124.3333333
40,124,9,74.82351471,21.125,1.64824621,0.85,0,124.375
41,124,10,133.9336765,21.175,1.928634511,0.85,0,124.4166667
42,124,11,191.4705882,20.83,1.873852935,0.85,0,124.4583333
43,124,12,191.4705882,21.03,1.894520464,0.85,0,124.5
44,124,13,191.4705882,20.445,1.742641669,0.85,0,124.5416667
45,124,14,169.3238235,19.93,1.563949034,0.85,0,124.5833333
46,124,15,142.2307353,19.795,1.697023732,0.85,0,124.625
47,124,16,89.01786765,19.345,1.376725144,0.85,0,124.6666667
48,124,17,68.49860294,19.23,1.488938714,0.85,5,124.7083333
49,124,18,59.55692647,18.92,1.018898269,0.85,0,124.75
50,124,19,28.76207353,19.9,0.884868423,0.85,0,124.7916667
51,124,20,10.76543382,19.54,1.021222357,0.85,0,124.8333333
52,124,21,0.021859559,19.66,1.155715042,0.85,0,124.875
53,124,22,0.023455147,20.14,1.403689528,0.85,0,124.9166667
54,124,23,0.022338235,20.655,1.491281429,0.85,0,124.9583333
55,125,0,0.019147059,20.99,1.522455089,0.85,0,125
56,125,1,0.024891176,21.195,1.56276018,0.85,0,125.0416667
57,125,2,0.027763235,21.345,1.545355842,0.85,0,125.0833333
58,125,3,0.032869118,21.405,1.531905969,0.85,0,125.125
59,125,4,0.033826471,21.605,1.509815966,0.85,0,125.1666667
60,125,5,0.172642647,21.655,1.553391077,0.85,0,125.2083333
61,125,6,11.69566176,21.695,1.548521259,0.85,0,125.25
62,125,7,19.00505147,21.675,1.475135407,0.85,0,125.2916667
63,125,8,35.80340441,21.76,1.389209872,0.85,0,125.3333333
64,125,9,70.20907353,21.85,1.708197484,0.85,0,125.375
65,125,10,125.0941176,21.9,2.165343515,0.85,0,125.4166667
66,125,11,191.4705882,21.535,1.91839046,0.85,0,125.4583333
67,125,12,191.4705882,21.8,1.889221213,0.85,0,125.5
68,125,13,191.4705882,20.785,1.659492995,0.85,0,125.5416667
69,125,14,188.3272794,20.26,1.653980529,0.85,0,125.5833333
70,125,15,191.4705882,19.855,1.609023207,0.85,0,125.625
71,125,16,130.6148529,19.695,1.58160165,0.85,0,125.6666667
72,125,17,111.3401471,19.33,1.592862757,0.85,5,125.7083333
73,125,18,60.97540441,19.71,1.376334682,0.85,0,125.75
74,125,19,26.48357353,20.375,1.173714168,0.85,0,125.7916667
75,125,20,10.21176471,20.04,1.186851539,0.85,0,125.8333333
76,125,21,0.030316176,19.86,1.332480682,0.85,0,125.875
77,125,22,0.027284559,19.65,1.305755995,0.85,0,125.9166667
78,125,23,0.038613235,20.185,1.389439502,0.85,0,125.9583333
79,126,0,0.038134559,20.66,1.440914981,0.85,0,126
80,126,1,0.034464706,20.995,1.464697478,0.85,0,126.0416667
81,126,2,0.026965441,21.295,1.483516161,0.85,0,126.0833333
82,126,3,0.030316176,21.46,1.517845656,0.85,0,126.125
83,126,4,0.038294118,21.5,1.508748058,0.85,0,126.1666667
84,126,5,0.193544853,21.62,1.53495197,0.85,0,126.2083333
85,126,6,12.08338971,21.655,1.15531491,0.85,0,126.25
86,126,7,19.20130882,21.62,1.224032634,0.85,0,126.2916667
87,126,8,35.95019853,21.26,1.539330516,0.85,0,126.3333333
88,126,9,97.42661765,21.155,1.653427379,0.85,0,126.375
89,126,10,139.2629412,21.47,2.071161146,0.85,0,126.4166667
90,126,11,191.4705882,22.085,2.194996655,0.85,0,126.4583333
91,126,12,191.4705882,22.565,2.072000683,0.85,0,126.5
92,126,13,191.4705882,21.2,1.728151525,0.85,0,126.5416667
93,126,14,190.9440441,20.43,1.573337985,0.85,0,126.5833333
94,126,15,122.8842279,21.025,1.640261844,0.85,0,126.625
95,126,16,147.6078676,20.785,1.599708661,0.85,0,126.6666667
