DOY,Hour,radiation,temperature,VPD,wind_speed,precipitation
1.0,1.0,0.0,10.5,0.01,1.3,0.0
1.0,2.0,0.0,11.3,0.08,1.8,0.0
1.0,3.0,0.0,11.9,0.16,1.8,0.0
1.0,4.0,0.0,10.8,0.11,0.8,0.0
1.0,5.0,0.0,11.6,0.17,2.1,0.0
1.0,6.0,0.0,10.6,0.06,1.7,0.0
1.0,7.0,0.0,11.1,0.09,1.6,0.0
1.0,8.0,0.0,11.3,0.1,0.9,0.0
1.0,9.0,5.555599999999999,11.7,0.11,1.1,0.017072891635198532
1.0,10.0,11.111199999999998,11.9,0.08,1.8,0.017072891635198532
1.0,11.0,25.000199999999996,13.4,0.22,3.3,0.017072891635198532
1.0,12.0,58.33379999999999,13.9,0.25,1.9833276118549032,0.017072891635198532
1.0,13.0,83.33399999999999,14.5,0.32,4.5,0.0
1.0,14.0,94.4452,14.6,0.35,1.9833276118549032,0.0
1.0,15.0,75.00059999999999,13.0,0.19,1.9833276118549032,0.017072891635198532
1.0,16.0,22.222399999999997,12.5,0.27,5.0,0.017072891635198532
1.0,17.0,8.3334,11.6,0.23,1.9833276118549032,0.017072891635198532
1.0,18.0,0.0,10.9,0.26,3.0,0.017072891635198532
1.0,19.0,0.0,10.6,0.31,4.2,0.017072891635198532
1.0,20.0,0.0,9.6,0.14,2.1,0.017072891635198532
1.0,21.0,0.0,9.2,0.16,3.0,0.017072891635198532
1.0,22.0,0.0,8.0,0.08,1.6,0.0
1.0,23.0,0.0,8.2,0.08,2.4,0.0
1.0,24.0,0.0,9.0,0.19,1.9833276118549032,0.017072891635198532
2.0,1.0,0.0,8.6,0.17,3.9,0.0
2.0,2.0,0.0,8.4,0.14,4.0,0.0
2.0,3.0,0.0,8.5,0.12,3.7,0.0
2.0,4.0,0.0,8.7,0.12,3.8,0.0
2.0,5.0,0.0,8.7,0.13,1.4,0.0
2.0,6.0,0.0,8.7,0.12,2.4,0.0
2.0,7.0,0.0,8.6,0.11,3.2,0.0
2.0,8.0,2.7777999999999996,8.6,0.12,4.7,0.0
2.0,9.0,41.666999999999994,8.8,0.15,4.4,0.0
2.0,10.0,116.66759999999998,9.4,0.17,3.4,0.0
2.0,11.0,222.224,11.1,0.33,3.8,0.0
2.0,12.0,175.0014,11.5,0.41,3.1,0.0
2.0,13.0,266.6688,12.3,0.52,2.1,0.0
2.0,14.0,227.77959999999996,13.1,0.59,1.3,0.0
2.0,15.0,319.44699999999995,13.6,0.64,3.1,0.0
2.0,16.0,158.33459999999997,12.6,0.52,3.5,0.0
2.0,17.0,52.7782,12.3,0.47,2.1,0.0
2.0,18.0,5.555599999999999,11.6,0.38,0.3,0.0
2.0,19.0,0.0,9.7,0.16,0.9,0.0
2.0,20.0,0.0,9.6,0.17,1.9,0.0
2.0,21.0,0.0,8.7,0.15,1.3,0.0
2.0,22.0,0.0,8.6,0.14,1.4,0.0
2.0,23.0,0.0,9.2,0.21,1.6,0.0
2.0,24.0,0.0,8.9,0.17,2.3,0.0
3.0,1.0,0.0,9.1,0.18,3.1,0.0
3.0,2.0,0.0,8.8,0.12,2.4,0.0
3.0,3.0,0.0,8.8,0.12,2.3,0.0
3.0,4.0,0.0,8.8,0.12,2.9,0.0
3.0,5.0,0.0,8.9,0.13,2.8,0.0
3.0,6.0,0.0,9.0,0.14,2.4,0.0
3.0,7.0,0.0,8.9,0.14,2.6,0.0
3.0,8.0,5.555599999999999,8.8,0.15,3.1,0.0
3.0,9.0,80.55619999999999,9.0,0.17,2.7,0.0
3.0,10.0,272.22439999999995,10.8,0.28,3.4,0.0
3.0,11.0,427.78119999999996,13.0,0.45,2.7,0.0
3.0,12.0,558.3377999999999,14.6,0.63,1.5,0.0
3.0,13.0,550.0043999999999,15.4,0.73,1.1,0.0
3.0,14.0,522.2263999999999,16.1,0.8,1.0,0.0
3.0,15.0,500.00399999999996,16.2,0.76,2.3,0.0
3.0,16.0,252.7798,16.0,0.79,1.6,0.0
3.0,17.0,102.77859999999998,16.0,0.77,1.2,0.0
3.0,18.0,11.111199999999998,13.3,0.4,1.4,0.0
3.0,19.0,0.0,11.1,0.18,1.5,0.0
3.0,20.0,0.0,9.8,0.14,0.4,0.0
3.0,21.0,0.0,9.5,0.11,0.3,0.0
3.0,22.0,0.0,8.9,0.06,0.1,0.0
3.0,23.0,0.0,8.8,0.06,0.1,0.0
3.0,24.0,0.0,8.3,0.04,0.1,0.0
4.0,1.0,0.0,7.9,0.02,0.4,0.0
4.0,2.0,0.0,7.6,0.02,0.1,0.0
4.0,3.0,0.0,7.2,0.01,0.0,0.0
4.0,4.0,0.0,7.8,0.01,0.5,0.0
4.0,5.0,0.0,8.0,0.03,1.5,0.0
4.0,6.0,0.0,8.0,0.04,0.6,0.0
4.0,7.0,0.0,8.4,0.08,1.8,0.0
4.0,8.0,8.3334,8.3,0.06,0.7,0.0
4.0,9.0,100.00079999999998,9.0,0.08,0.3,0.0
4.0,10.0,286.11339999999996,11.5,0.27,0.3,0.0
4.0,11.0,422.2256,13.0,0.37,0.9,0.0
4.0,12.0,483.33719999999994,14.5,0.56,3.0,0.0
4.0,13.0,566.6712,15.9,0.67,3.5,0.0
4.0,14.0,538.8932,16.7,0.77,3.2,0.0
4.0,15.0,458.33699999999993,17.5,0.94,2.1,0.0
4.0,16.0,325.0026,17.7,0.98,2.0,0.0
4.0,17.0,158.33459999999997,17.1,0.79,1.7,0.0
4.0,18.0,16.6668,15.9,0.6,0.0,0.0
4.0,19.0,0.0,13.8,0.44,1.1,0.0
4.0,20.0,0.0,11.4,0.22,0.5,0.0
4.0,21.0,0.0,10.3,0.16,0.3,0.0
4.0,22.0,0.0,9.6,0.13,0.1,0.0
4.0,23.0,0.0,9.2,0.11,0.0,0.0
4.0,24.0,0.0,7.9,0.06,0.3,0.0
5.0,1.0,0.0,7.5,0.03,0.0,0.0
5.0,2.0,0.0,6.1,0.02,1.2,0.0
5.0,3.0,0.0,6.3,0.02,0.4,0.0
5.0,4.0,0.0,5.9,0.03,0.6,0.0
5.0,5.0,0.0,5.0,0.01,0.4,0.0
5.0,6.0,0.0,5.1,0.0,0.2,0.0
5.0,7.0,0.0,4.9,0.0,0.1,0.0
5.0,8.0,8.3334,5.1,0.0,0.7,0.0
5.0,9.0,58.33379999999999,6.6,0.01,0.9,0.0
5.0,10.0,163.89019999999996,8.1,0.07,1.3,0.0
5.0,11.0,336.11379999999997,10.5,0.23,0.6,0.0
5.0,12.0,286.11339999999996,12.5,0.4,0.8,0.0
5.0,13.0,255.55759999999998,14.0,0.51,0.3,0.0
5.0,14.0,197.22379999999998,14.7,0.56,1.0,0.0
5.0,15.0,202.77939999999998,15.0,0.55,0.6,0.0
5.0,16.0,94.4452,14.9,0.49,1.7,0.0
5.0,17.0,36.111399999999996,14.0,0.37,1.0,0.0
5.0,18.0,5.555599999999999,12.9,0.24,0.4,0.0
5.0,19.0,0.0,12.2,0.18,0.9,0.0
5.0,20.0,0.0,11.6,0.12,0.6,0.0
5.0,21.0,0.0,11.4,0.1,0.7,0.0
5.0,22.0,0.0,10.9,0.1,0.9,0.0
5.0,23.0,0.0,10.5,0.07,0.9,0.0
5.0,24.0,0.0,10.4,0.07,1.1,0.0
6.0,1.0,0.0,10.0,0.1,1.7,0.0
6.0,2.0,0.0,8.9,0.06,1.6,0.0
6.0,3.0,0.0,8.6,0.07,2.1,0.0
6.0,4.0,0.0,8.2,0.07,1.5,0.0
6.0,5.0,0.0,7.2,0.05,0.9,0.0
6.0,6.0,0.0,6.2,0.04,0.8,0.0
6.0,7.0,0.0,5.5,0.02,0.4,0.0
6.0,8.0,13.889,5.6,0.02,0.6,0.0
6.0,9.0,188.8904,8.0,0.11,0.9,0.0
6.0,10.0,375.003,11.5,0.31,1.3,0.0
6.0,11.0,466.6703999999999,14.7,0.61,0.1,0.0
6.0,12.0,494.44839999999994,16.1,0.74,0.4,0.0
6.0,13.0,525.0042,16.0,0.68,1.9,0.0
6.0,14.0,372.2252,16.1,0.71,2.5,0.0
6.0,15.0,236.11299999999997,15.9,0.66,2.3,0.0
6.0,16.0,152.779,15.5,0.65,2.4,0.0
6.0,17.0,83.33399999999999,15.1,0.54,1.4,0.0
6.0,18.0,8.3334,13.8,0.38,0.2,0.0
6.0,19.0,0.0,12.5,0.27,0.0,0.0
6.0,20.0,0.0,11.9,0.22,0.1,0.0
6.0,21.0,0.0,10.5,0.12,0.6,0.0
6.0,22.0,0.0,9.3,0.08,0.7,0.0
6.0,23.0,0.0,8.8,0.08,0.5,0.0
6.0,24.0,0.0,6.8,0.04,0.7,0.0
7.0,1.0,0.0,6.4,0.04,0.3,0.0
7.0,2.0,0.0,5.7,0.02,0.3,0.0
7.0,3.0,0.0,5.1,0.01,0.5,0.0
7.0,4.0,0.0,4.5,0.01,0.2,0.0
7.0,5.0,0.0,4.9,0.03,0.9,0.0
7.0,6.0,0.0,3.8,0.04,0.1,0.0
7.0,7.0,0.0,3.0,0.01,0.8,0.0
7.0,8.0,16.6668,2.7,0.01,1.1,0.0
7.0,9.0,175.0014,4.5,0.03,1.1,0.0
7.0,10.0,327.78039999999993,8.6,0.17,0.6,0.0
7.0,11.0,455.5591999999999,11.2,0.29,0.7,0.0
7.0,12.0,552.7822,12.9,0.45,1.7,0.0
7.0,13.0,591.6714,15.4,0.88,2.5,0.0
7.0,14.0,577.7823999999999,17.0,1.09,2.8,0.0
7.0,15.0,508.33739999999995,18.2,1.28,2.9,0.0
7.0,16.0,402.78099999999995,18.8,1.39,2.2,0.0
7.0,17.0,180.557,18.8,1.36,0.8,0.0
7.0,18.0,30.555799999999998,16.5,1.0,0.2,0.0
7.0,19.0,0.0,12.6,0.56,1.4,0.0
7.0,20.0,0.0,10.9,0.4,1.4,0.0
7.0,21.0,0.0,9.6,0.28,1.4,0.0
7.0,22.0,0.0,8.5,0.21,2.0,0.0
7.0,23.0,0.0,8.6,0.23,1.2,0.0
7.0,24.0,0.0,7.3,0.15,0.4,0.0
8.0,1.0,0.0,6.0,0.08,0.6,0.0
8.0,2.0,0.0,5.5,0.07,0.9,0.0
8.0,3.0,0.0,5.4,0.08,0.9,0.0
8.0,4.0,0.0,4.7,0.06,0.6,0.0
8.0,5.0,0.0,3.9,0.04,0.7,0.0
8.0,6.0,0.0,3.3,0.02,0.6,0.0
8.0,7.0,0.0,3.2,0.02,0.6,0.0
8.0,8.0,19.4446,3.2,0.03,1.2,0.0
8.0,9.0,150.00119999999998,6.0,0.1,1.8,0.0
8.0,10.0,294.4468,10.0,0.31,2.3,0.0
8.0,11.0,447.2258,12.7,0.54,0.9,0.0
8.0,12.0,538.8932,14.2,0.62,0.9,0.0
8.0,13.0,538.8932,16.5,0.92,1.0,0.0
8.0,14.0,563.8933999999999,17.8,1.12,1.6,0.0
8.0,15.0,480.5593999999999,19.2,1.3,1.6,0.0
8.0,16.0,344.44719999999995,19.1,1.28,1.4,0.0
8.0,17.0,172.22359999999998,19.4,1.26,0.6,0.0
8.0,18.0,25.000199999999996,17.0,0.87,0.7,0.0
8.0,19.0,0.0,13.5,0.52,0.6,0.0
8.0,20.0,0.0,11.1,0.31,0.3,0.0
8.0,21.0,0.0,10.0,0.2,1.1,0.0
8.0,22.0,0.0,9.6,0.19,1.9,0.0
8.0,23.0,0.0,8.7,0.15,1.9,0.0
8.0,24.0,0.0,8.7,0.16,2.1,0.0
9.0,1.0,0.0,8.1,0.14,1.3,0.0
9.0,2.0,0.0,7.2,0.11,0.5,0.0
9.0,3.0,0.0,5.2,0.05,0.5,0.0
9.0,4.0,0.0,4.9,0.03,0.1,0.0
9.0,5.0,0.0,5.2,0.04,0.7,0.0
9.0,6.0,0.0,4.0,0.04,0.6,0.0
9.0,7.0,0.0,3.0,0.01,0.0,0.0
9.0,8.0,16.6668,3.2,0.01,0.7,0.0
9.0,9.0,150.00119999999998,5.9,0.07,0.7,0.0
9.0,10.0,305.558,9.5,0.23,0.5,0.0
9.0,11.0,411.11439999999993,12.6,0.48,0.3,0.0
9.0,12.0,536.1153999999999,13.9,0.58,0.7,0.0
9.0,13.0,625.0049999999999,16.5,0.88,1.1,0.0
9.0,14.0,566.6712,17.7,0.99,1.6,0.0
9.0,15.0,413.89219999999995,18.8,1.16,0.6,0.0
9.0,16.0,186.1126,18.9,1.18,0.1,0.0
9.0,17.0,155.5568,19.1,1.17,0.7,0.0
9.0,18.0,8.3334,15.8,0.61,0.1,0.0
9.0,19.0,0.0,14.1,0.49,0.3,0.0
9.0,20.0,0.0,12.2,0.28,0.1,0.0
9.0,21.0,0.0,10.6,0.19,0.8,0.0
9.0,22.0,0.0,9.5,0.13,0.5,0.0
9.0,23.0,0.0,8.6,0.11,0.6,0.0
9.0,24.0,0.0,8.5,0.11,1.6,0.0
10.0,1.0,0.0,8.3,0.1,1.1,0.0
10.0,2.0,0.0,7.9,0.1,1.1,0.0
10.0,3.0,0.0,7.8,0.11,0.5,0.0
